LocomotionID,PrimateID,LMTypeCd,Checked,PctOfTime,CitationID,Comment,OrigIDPhysical,AuthorAddStamp,AuthorEditStamp,AuthorReviewStamp,AuthorIsDupeStamp,AdminReviewStamp
324,125,LEAP,-1,58,2583,,5654,,4/24/2009,4/24/2009,,
325,126,CLIM,-1,,,,478,,,,,
326,126,LEAP,-1,,,,478,,,,,
327,126,VERT,-1,,,,478,,,,,
328,127,BIPE,-1,,2605,,2986,,,,,
329,127,BRAC,-1,,2605,,2986,,,,,
330,127,CLIM,-1,,2605,,2986,,,,,
331,127,LEAP,-1,,2605,,2986,,,,,
332,127,QUAD,-1,,2605,,2986,,,,,
333,127,VERT,-1,,2605,,2986,,,,,
334,127,BIPE,-1,,2606,,2987,,,,,
335,127,BRAC,-1,,2606,,2987,,,,,
336,127,CLIM,-1,,2606,,2987,,,,,
337,127,LEAP,-1,,2606,,2987,,,,,
338,127,QUAD,-1,,2606,,2987,,,,,
339,127,VERT,-1,,2606,,2987,,,,,
340,127,BIPE,-1,,2607,,2988,,,,,
341,127,BRAC,-1,,2607,,2988,,,,,
342,127,CLIM,-1,,2607,,2988,,,,,
343,127,LEAP,-1,,2607,,2988,,,,,
344,127,QUAD,-1,,2607,,2988,,,,,
345,127,VERT,-1,,2607,,2988,,,,,
346,127,BIPE,-1,,2608,,2989,,,,,
347,127,BRAC,-1,,2608,,2989,,,,,
348,127,CLIM,-1,,2608,,2989,,,,,
349,127,LEAP,-1,,2608,,2989,,,,,
350,127,QUAD,-1,,2608,,2989,,,,,
351,127,VERT,-1,,2608,,2989,,,,,
352,128,CLIM,-1,16,2624,16-24,482,,,4/24/2015,,
353,128,LEAP,-1,66.1,2630,,482,,,4/24/2015,,
354,128,QUAD,-1,,2621,rarely observed in this species; more common in juv,482,,,4/24/2015,,
355,128,VERT,-1,,2621,,482,,,4/24/2015,,
356,128,CLIM,-1,,2621,,483,,,4/24/2015,,
357,128,LEAP,-1,,2621,,483,,,4/24/2015,,
358,128,CLIM,0,27.5,2630,,484,,,4/24/2015,,
359,128,LEAP,-1,,2624,,484,,,4/24/2015,,
360,128,CLIM,-1,18,2637,,492,,,4/24/2015,,
361,128,LEAP,-1,82,2637,,492,,,4/24/2015,,
362,128,QUAD,-1,,2624,rarely observed in this species; more common in juv,492,,,4/24/2015,,
363,128,VERT,-1,,2624,,492,,,4/24/2015,,
364,129,CLIM,-1,8,2657,8%,3590,,,,,
365,129,QUAD,-1,36,,36%,3590,,,,,
366,129,VERT,-1,56,2657,56%,3590,,,,,
367,129,VERT,-1,,2653,,3591,,,,,
368,129,VERT,-1,,2662,,3592,,,,,
369,130,CLIM,-1,22,2684,,1390,,,6/1/2009,,
370,130,LEAP,-1,58,2684,,1390,,,6/1/2009,,
371,130,QUAD,-1,21,2684,,1390,,,6/1/2009,,
372,130,VERT,-1,,2683,,1390,,,6/1/2009,,
373,130,CLIM,-1,22,2684,,5282,,,6/1/2009,,
374,130,LEAP,-1,58,2684,,5282,,,6/1/2009,,
375,130,QUAD,-1,21,2684,,5282,,,6/1/2009,,
376,130,VERT,-1,,2683,,5282,,,6/1/2009,,
